id_ranking,name,star,description,user_id,obra_id
1001,CONSERVATORI,10,Trobar noves obres.,11,118
1001,CONSERVATORI,1,Trobar noves obres.,11,119
1001,CONSERVATORI,6,Trobar noves obres.,11,120
1001,CONSERVATORI,2,Trobar noves obres.,11,122
1001,CONSERVATORI,10,Trobar noves obres.,11,123
1001,CONSERVATORI,8,Trobar noves obres.,11,124
1001,CONSERVATORI,10,Trobar noves obres.,11,125
1001,CONSERVATORI,10,Trobar noves obres.,11,126
1001,CONSERVATORI,6,Trobar noves obres.,11,128
1001,CONSERVATORI,8,Trobar noves obres.,11,130
1001,CONSERVATORI,6,Trobar noves obres.,11,131
1001,CONSERVATORI,8,Trobar noves obres.,11,132
1001,CONSERVATORI,10,Trobar noves obres.,11,133
1001,CONSERVATORI,8,Trobar noves obres.,11,134
1001,CONSERVATORI,1,Trobar noves obres.,11,135
1001,CONSERVATORI,10,Trobar noves obres.,11,136
1001,CONSERVATORI,6,Trobar noves obres.,11,137
1001,CONSERVATORI,6,Trobar noves obres.,11,138
1001,CONSERVATORI,6,Trobar noves obres.,11,139
1001,CONSERVATORI,6,Trobar noves obres.,11,140
1001,CONSERVATORI,10,Trobar noves obres.,11,141
1001,CONSERVATORI,10,Trobar noves obres.,11,142
1001,CONSERVATORI,6,Trobar noves obres.,11,143
1001,CONSERVATORI,8,Trobar noves obres.,11,144
1001,CONSERVATORI,8,Trobar noves obres.,11,145
1001,CONSERVATORI,10,Trobar noves obres.,11,146
1001,CONSERVATORI,10,Trobar noves obres.,11,147
1001,CONSERVATORI,8,Trobar noves obres.,11,148
1001,CONSERVATORI,6,Trobar noves obres.,11,149
1001,CONSERVATORI,6,Trobar noves obres.,11,150
1001,CONSERVATORI,8,Trobar noves obres.,11,151
1001,CONSERVATORI,6,Trobar noves obres.,11,152
1001,CONSERVATORI,1,Trobar noves obres.,11,153
1001,CONSERVATORI,6,Trobar noves obres.,11,154
1001,CONSERVATORI,8,Trobar noves obres.,11,155
1001,CONSERVATORI,6,Trobar noves obres.,11,156
1001,CONSERVATORI,6,Trobar noves obres.,11,157
1001,CONSERVATORI,10,Trobar noves obres.,11,158
1001,CONSERVATORI,10,Trobar noves obres.,11,159
1001,CONSERVATORI,8,Trobar noves obres.,11,160
1001,CONSERVATORI,10,Trobar noves obres.,11,161
1001,CONSERVATORI,6,Trobar noves obres.,11,162
1001,CONSERVATORI,4,Trobar noves obres.,11,163
1001,CONSERVATORI,6,Trobar noves obres.,11,164
1001,CONSERVATORI,6,Trobar noves obres.,11,165
1001,CONSERVATORI,6,Trobar noves obres.,11,166
1001,CONSERVATORI,6,Trobar noves obres.,11,167
1001,CONSERVATORI,6,Trobar noves obres.,11,168
1001,CONSERVATORI,6,Trobar noves obres.,11,169
1001,CONSERVATORI,1,Trobar noves obres.,11,170
1001,CONSERVATORI,8,Trobar noves obres.,11,171
1001,CONSERVATORI,6,Trobar noves obres.,11,172
1001,CONSERVATORI,6,Trobar noves obres.,11,173
1001,CONSERVATORI,6,Trobar noves obres.,11,174
1001,CONSERVATORI,8,Trobar noves obres.,11,175
1001,CONSERVATORI,10,Trobar noves obres.,11,176
