name,lz_complexity,pitch_entropy,duration
RChPhOJIByg,1187,5.492301220446895,467.5
ETcsMMq9LYE,607,5.620788616853859,202.5
q6In7kSwI1M,939,6.048078566525769,255.21875
7TnlpziOeZ8,107,4.149193724353241,36.68359375
rMGRbYUH--o,118,4.297862032075445,134.0390625
85SLyjWi0ns,925,5.938867156742135,310.26432291666663
qEosCY1I5As,922,6.322521976886244,193.76953125
tkScHgy5ORA,638,5.585670815691175,167.34895833333331
LtlDdG3JDDw,484,5.7644135862057775,182.45963541666666
PeDvxdpqVw4,245,4.9136681169074485,117.5
NKcuzA3pVZ4,877,6.3838466651877965,331.41276041666663
tNkysKTy638,734,5.278937167014266,301.06901041666663
Bp_0P3aiuWc,306,5.306535639561341,180.91666666666666
HpWUm2H7V2U,517,5.599480924520806,211.18619791666666
DOj60WZfyt8,4896,7.1697688972616875,1710.5794270833333
x1JeK6RC4S4,743,6.126842881749106,189.04947916666666
loRFfnaxAB4,1175,6.462327515049852,320.75
2_bmsHcvxJg,3207,6.881063332587799,1650.3333333333333
8uVQzq1vQlw,1505,6.4089934941341244,581.21875
SXxr2yw61_g,634,5.67891350143082,608.8893229166666
VL1ZfmSIRFg,947,6.134907082943257,404.86979166666663
dI0m4FsXndU,384,5.698453625045951,197.5
LVevDET_U3Y,198,4.896004973932179,82.671875
T1EHXuVwxk4,621,4.976455902402839,213.859375
thxKMfOmAsM,333,5.0321498361322545,337.5
gguHcUWUVOE,5663,7.096351241519239,2378.7291666666665
-Slvsc2_6Ig,1795,5.844274797613052,690.7552083333333
y1aP6Ddd8ew,705,5.1234056663548495,320.125
qnoC_ODjJEc,258,5.293725870256617,106.9453125
ZfJ6D9PGOaA,684,5.6989339779862584,215.609375
mlfog5Dmf_4,1050,6.042872914310562,390.00390625
lXFN4bKpZ6M,303,5.134019833217378,299.55859375
EEJpXq4fUmI,802,5.7540110398036175,258.4296875
yHAPV9BxkqY,531,5.820328240285658,324.8203125
ojlIcCAcfcQ,600,6.040556759775141,282.046875
oLzQbyWfBnY,1859,6.278156113893425,810.2591145833333
ruL4sD2rpHc,2893,6.61323905846713,1161.7369791666665
QLFo8njpnrA,798,5.854640881336257,633.8893229166666
ebKidX7FgDA,696,6.029434657139078,168.37890625
xAoLsWMKIx8,1879,6.482394705616082,638.9192708333333
6hMpVrc9FFw,1425,6.319401920277867,616.0690104166666
Nq1QKpyJxFU,523,5.149469375798322,166.11328125
u-6PVnFPYNQ,437,5.581395042909615,75.45963541666666
vCQ4CZS0GIc,782,5.907719973420175,313.56119791666663
TeBHDjuVd4U,1395,6.520713434976047,317.51432291666663
-uHeXmV-gME,104,3.974439243355329,67.68880208333333
rpXNYiVqivQ,1836,6.143922360833074,569.4596354166666
yQuCkupJjhY,542,5.467466550287056,233.5546875
UtnKIvFWiuU,231,4.606732167690079,92.72916666666666
KLVNRz5iVFk,601,5.606590434014608,188.2890625
ZAGQD_jcGf8,128,4.679859127433545,117.03776041666666
ip5bmVZbTes,429,5.10252546449926,182.96875
40GFvMaN-3A,1005,6.192690174928683,356.40885416666663
RUhgZ0jCxbI,191,4.966593720803816,159.06901041666666
bGG_5sl3V9s,950,6.261132366729355,418.7552083333333
jltNNSoVNXQ,90,4.467502300022171,106.20963541666666
DW9wvXJGGhY,1314,6.047036606724998,700.3294270833333
YOVjQJVfA-I,109,4.515965181470144,84.06901041666666
_FzLaQ05ZFc,468,5.697441535231107,289.72916666666663
JVaV_CXrYoU,4315,6.688165862799383,1783.1979166666665
-FuOTI3plNE,575,4.97135426803575,209.56901041666666
FhCjFBI85Ss,719,5.782153055779403,294.5091145833333
hOcryGEw1NY,478,5.17840418889858,223.80989583333331
y1A8tuB5vEY,1595,6.750324393033393,682.5065104166666
K1FgrYM4w6s,249,5.094512970386353,145.55859375
Z9md584oGHQ,178,3.561352165021818,135.19921875
kxJeojg7tX8,1327,6.284890839550624,418.2890625
HPDzbDld9ak,336,5.658747999294386,151.07942708333331
rrjLU32nEng,224,4.621543483401608,95.50520833333333
nJUGde_RT_k,564,5.574207320140892,297.97135416666663
PumHWfIbpO8,226,4.2149296111662,98.609375
zWsneS28F1I,382,5.231632566640262,378.71875
gQ9QO83rCCg,484,4.876619127317943,221.33984375
XoQqn4AF868,1079,6.533710943200333,266.2434895833333
lae8I2wDJw0,1217,6.261451422168311,603.48828125
p-b4R9YcnBo,907,5.7860321899378935,277.72916666666663
XcDCB_rePXw,1515,6.885083596231121,514.0690104166666
5OHor_u7wMU,2042,6.621782971187927,514.3098958333333
a6Kwt1tOoT4,749,6.033680304033415,560.3841145833333
11bQq6PKOWU,335,5.022586780699783,111.77994791666666
F46s4yh8vfI,501,5.393850854550875,347.83984375
V7ifOgy_hos,2219,6.657898424406998,736.2291666666666
vblDk6Ax3Xw,118,4.358702444391328,82.5
jP0PuWQrKrI,527,5.362236198382363,147.8125
MsgtE_J56K8,1441,5.513310792060748,497.46875
IA2k6xjlB8g,464,5.768881333739507,166.0390625
Su21om-F0Vo,5846,6.967694374834742,4129.528645833333
qIRklKauXGc,1702,6.680867409276058,425.02994791666663
l1QSZOQwO-o,617,6.186776312083126,182.90885416666666
AnH5kjhEQBU,232,5.027252449452377,127.171875
-te9_kuHhko,281,5.144813807690179,202.74609375
gjxwb8Z_dZg,2069,6.411993576432257,744.5598958333333
ffmj-4Yj1M4,356,5.035894804120254,203.62239583333331
mapgRe03JHo,493,5.813860667227629,194.13932291666666
X5QAaEtMpEI,1334,6.2620903486047945,401.4375
DcYHsK_B3wQ,409,5.1201047540503035,327.5
Xbl00Tz5KhQ,282,4.556809495289317,194.23958333333331
HToOwt6_WKI,300,5.319090250011479,127.18880208333333
BtUBjAHsQDw,646,5.801357540132909,225.91536458333331
Jt8Mu7IsMcs,229,4.803944244394469,73.49088541666666
7-9wXQpzESo,600,5.442130368085142,557.5794270833333
alnVt6Y19PI,134,4.031386878805724,100.73567708333333
w-XrJvvBe4Q,799,6.0502036801048025,306.640625
7cJvkoiXCr8,749,5.787621471846242,322.5
oZQQxIXiqN8,831,5.168451095531031,350.76822916666663
se24uBrOUYQ,275,4.830575386637718,79.54817708333333
OB7QyaeBssg,547,5.632632841362004,182.05208333333331
fxp3IQ6pxYs,565,5.433676593104207,209.98958333333331
DlyDBzJe16A,1806,6.190190386257782,521.5299479166666
V25WBmgzbak,462,5.563711400302371,171.09895833333331
dXB_307D248,878,5.772554948663709,254.75651041666666
H9J6xhiUy1w,333,5.246112504039335,158.40494791666666
Ch-Pof7V-0c,279,4.666388757505413,88.7890625
TPcJX0UmO0c,965,5.944005418567899,382.49088541666663
1JxkmpQ9Gc4,846,5.924952521423853,331.75651041666663
W6RKhLEod_U,344,4.702703251729656,199.109375
OJ0HKlc-aFY,332,5.368535124039991,125.21744791666666
i0yvw75IJxw,862,5.79671872074865,520.0
KBcERxrDTPs,266,5.06833652981603,222.5
YnWQm2_n7mM,965,6.345208186072793,187.59895833333331
Ioj8RcreIdE,375,5.439592816332197,269.2395833333333
PXOev0gb2GU,392,5.230236001392322,166.98958333333331
cHy-ovD8xfg,631,5.672042599002971,232.74869791666666
ZJDL5XuA6hU,394,5.516604417872949,412.01953125
TAcp1Owzl0Q,377,5.311128436893311,189.36979166666666
hn_eL3C4RQ8,891,6.271885495845163,207.5
P163M8W1M7g,5213,7.14079698839641,2872.5
2QwrS1GYldI,330,5.043504136063712,198.30989583333331
tKA_1VKO7To,825,5.927290288776979,264.97916666666663
73E6gtWHL4A,1962,6.4045073839248445,813.3841145833333
aCN4th_ZGKU,154,4.897372045835173,101.43880208333333
Sz_eZLjAMBs,1520,6.415480379321645,522.1796875
OMnJFdHHCeg,807,5.913426471695149,310.1497395833333
g5hXunPpUnw,1125,6.44111649777811,512.7291666666666
9mMP-pjkFa8,74,3.726557211469762,125.609375
eoZvhfmBptc,657,5.618594622884141,162.5
YwSwDr0CWy0,1369,6.330209575834745,409.9895833333333
aIhcj-a4_ZU,772,5.892720284051041,305.14322916666663
MtjKMXvdjFw,199,4.0489011351918185,168.58072916666666
cvGh-qFBqpc,101,4.42860085928506,55.7890625
XKhlVii9B80,378,5.360056807799136,123.44921875
_5G0imFdEB4,1083,6.246207493077168,251.69921875
G461JEL0F_8,135,4.335980307319097,128.90885416666666
asJtkFFWHzs,493,5.276450532585927,206.71614583333331
A5aGTT-xDLg,1586,6.501878490023697,633.9088541666666
IYCadcXTSl0,400,5.418628530942548,172.85286458333331
hG3u4PHC50c,525,5.49394935858257,205.359375
dUxCepCWACk,360,5.094872352023527,102.25
x0-hRzG2nBc,1765,6.709342235124219,615.7591145833333
D0ntPiyp1LM,957,5.812656711988257,383.1888020833333
-yO8_jgOolY,456,5.491631463693755,195.46875
0lS78FLp-IA,501,5.6466942764102885,335.0091145833333
3y9qmIWrOg4,297,5.296142325366766,133.89973958333331
UASn6myKlP0,1229,6.466887529435509,652.5
HpuJxeF215c,478,5.419235368883952,174.70963541666666
ha3YxKUHglg,266,5.076028867596032,193.59895833333331
c74SGpp-45c,499,5.664028675132615,583.4296875
AcHoC7gELlY,509,5.766074322350019,346.5
nMDfgyXn-qo,797,5.368685572000099,320.3125
3mwUo5fhUAM,75,2.8128608973809603,140.0390625
CUTnwhr4s9g,135,3.964709604033154,72.25
DOLziOw9vVo,316,5.068513781378861,153.36979166666666
WV8q0JHK-4s,1011,5.942279002114139,562.5
wKuHhrdmguE,722,5.705734837682108,675.12890625
J9ivOk3aDQI,1152,6.152288259868162,556.96875
D19yCXDMCOc,1028,5.2704093612090706,279.19791666666663
5UmSGI-k9JY,475,5.5224778005923,199.63932291666666
1e3XI4ubM98,304,5.270122616738965,119.5
urmDoC2EL8A,281,4.98116380764718,139.65885416666666
k3XKRwcA7nI,443,5.533588550316436,247.16927083333331
RPFr6VlGXYc,730,5.367708880439453,221.76953125
algM0c_u99k,276,5.133737941135733,141.84114583333331
PeUuogGREe8,1603,6.519702996352651,533.2018229166666
IID-b-xOfLs,911,6.1645361295254215,453.49088541666663
i4YlmlxMywY,1307,6.253196713883344,571.3294270833333
XiRMG9jIOZk,407,4.43168273594736,199.60416666666666
GNKQTgXJ56Q,1691,6.579804189896631,499.67447916666663
OJhbzy0Rns4,745,5.869533421738569,321.9778645833333
PaapKZjzuFg,824,5.030864000934607,390.67838541666663
RpnGDv_IBi8,2626,6.689714962847111,1367.5052083333333
K-Bk22yhBRw,636,5.776707937916461,238.74609375
3Cfo4xXuKCI,1311,5.194115714811927,779.6822916666666
tZ4XuJzgRxQ,445,5.628409257794951,302.51953125
4WqPHpYwsXo,1296,6.188618901094941,784.8489583333333
5giRhZGIovQ,488,5.366518564407011,228.63932291666666
YVPRyey7amY,576,5.5019095317453175,187.5
Fa8Wqn2fDaA,100,3.826135335476026,84.81901041666666
KZz5ibJqybU,1152,6.095069148767779,184.55989583333331
keBScnOFyes,1670,5.619921236425245,816.9140625
8aN0XgDSPSo,499,5.3785934194543845,161.46484375
F4yNlWlAP1c,321,5.345372409805655,123.15625
CY82n2QyojE,226,4.789508898337831,80.40885416666666
ph8UQUX5tA0,209,5.227499434377478,91.48958333333333
